word,frequency,rate
リスト,5,0.000
大津,2,0.000
あしらう,1,0.000
ゃたんですけどねえ,1,0.000
082,6,0.000
布,6,0.000
全身,5,0.000
利き,5,0.000
当然,29,0.000
ＩＳＤＮ,2,0.000
ソプラノリコーダー,1,0.000
キューズ,1,0.000
蒲田,2,0.000
トーナメント,1,0.000
全然,1263,0.001
バイト,228,0.000
022,5,0.000
隣組,2,0.000
なめる,1,0.000
雑草,2,0.000
感じ,1604,0.001
おはこ,1,0.000
ぱりそれはおかしいかなって,1,0.000
カウンセリング,4,0.000
越さ,2,0.000
紛らわしい,1,0.000
ぼうぼう,3,0.000
暴食,1,0.000
潜り込ん,1,0.000
ビバリッジ,1,0.000
酔っ払っ,3,0.000
タタタタタタタタ,1,0.000
つきあえる,1,0.000
まし,779,0.001
絵,90,0.000
もしもし,22,0.000
ピーマン,4,0.000
解答,3,0.000
見聞き,1,0.000
にやにや,2,0.000
はさ,38,0.000
岩,8,0.000
いただく,8,0.000
ビバリーヒルズ,1,0.000
総菜,3,0.000
近づい,14,0.000
策,2,0.000
キーボード,1,0.000
総集編,1,0.000
糸屋,1,0.000
事項,9,0.000
きちきち,2,0.000
ゃいけないっていうか,1,0.000
オペラ,35,0.000
撤去,1,0.000
国産,4,0.000
けさ,2,0.000
やから,5,0.000
中世,1,0.000
お昼,78,0.000
128,26,0.000
とんがっ,1,0.000
伊良湖岬,1,0.000
伸びる,5,0.000
呼び止め,2,0.000
本数,8,0.000
正直,6,0.000
エイト,4,0.000
尊重,2,0.000
なるほど,378,0.000
入り組ん,1,0.000
踏んづけ,1,0.000
分と,1,0.000
シマノ,9,0.000
湯飲み,2,0.000
012,8,0.000
浸し,2,0.000
マルセイエイズ,4,0.000
トゥームレイダー,2,0.000
ハムスター,4,0.000
い,2485,0.002
うらむ,1,0.000
くろ,2,0.000
使い切る,1,0.000
終,7,0.000
邦夫,1,0.000
伸ばす,2,0.000
甘味,2,0.000
指針,1,0.000
スクリーニング,1,0.000
を通じて,1,0.000
ゆく,3,0.000
協議,1,0.000
踊ら,5,0.000
鉗子,1,0.000
産院,3,0.000
難聴,3,0.000
ファ,2,0.000
記,2,0.000
岡村,2,0.000
おひたし,4,0.000
貸さ,2,0.000
トピック,5,0.000
一挙両得,1,0.000
預かる,3,0.000
ざまあみろ,1,0.000
におい袋,3,0.000
頭割り,1,0.000
几帳面,1,0.000
システム,24,0.000
患者,14,0.000
番目,35,0.000
暴力,2,0.000
やけに,1,0.000
サドルー,1,0.000
社外,1,0.000
石灰,2,0.000
強がり,1,0.000
ぐっちゃぐちゃにしてな,1,0.000
文通,1,0.000
トンネルー,1,0.000
すり込ん,1,0.000
コリン,2,0.000
いつも,333,0.000
発症,5,0.000
真夜中,5,0.000
かぶれ,3,0.000
美和,2,0.000
ミッドウエスト,1,0.000
見えっ張り,1,0.000
イオン,1,0.000
早い,143,0.000
拍車,1,0.000
損する,1,0.000
ゃなくてもなんでもいいっていうふうに,1,0.000
盛りつけ,1,0.000
キヨウ,1,0.000
ごっちゃ,3,0.000
番兵,1,0.000
呼ぶ,20,0.000
139,6,0.000
ジンジャー,3,0.000
切り崩し,1,0.000
細きゃ,1,0.000
つられ,3,0.000
日給,4,0.000
バージョンアップ,1,0.000
ほんとう,7,0.000
ケアワーカー,1,0.000
殺到,2,0.000
グッグッグッグ,1,0.000
ところ,1037,0.001
意外,34,0.000
認知,9,0.000
運ば,4,0.000
草履,3,0.000
犠牲,1,0.000
アンド,6,0.000
台湾,68,0.000
引っこ抜く,1,0.000
移す,2,0.000
リトル,4,0.000
染まっ,2,0.000
低層,5,0.000
バトミントン,3,0.000
お供え,3,0.000
閑散,2,0.000
病院,93,0.000
めずらしい,2,0.000
真紀子,1,0.000
うわっ,7,0.000
角川,3,0.000
なつかしくっ,1,0.000
ハーイ,6,0.000
見つかっ,11,0.000
ハンバーグ,22,0.000
車種,2,0.000
あれこれ,2,0.000
前線,2,0.000
ゃべれるようとはとかってそういう,1,0.000
メキシカン,1,0.000
時に,1,0.000
すさむ,2,0.000
ハンセン病,1,0.000
塩から,1,0.000
ナイ,4,0.000
さらさら,7,0.000
ごつごつ,1,0.000
予稿,11,0.000
お似合い,1,0.000
薄命,2,0.000
ファンケル,4,0.000
トロッコ,3,0.000
ＭＡＴ,1,0.000
あげ,131,0.000
失神,1,0.000
タイツ,13,0.000
ワーホリ,2,0.000
買い取る,1,0.000
染五郎,2,0.000
ゃいけなくなるでしょ,1,0.000
ババババッ,1,0.000
オーッ,2,0.000
ぱん,2,0.000
できあがり,1,0.000
みさ,1,0.000
かまくら,1,0.000
お子さん,12,0.000
チンザンレモネード,1,0.000
はじけ,3,0.000
液晶,2,0.000
不通,3,0.000
立たし,1,0.000
甘みそ,3,0.000
ジョンソン,2,0.000
突き当たる,3,0.000
生産,3,0.000
再来週,3,0.000
ターゲット,3,0.000
投票,4,0.000
笑い話,3,0.000
シャカシャカシャカ,1,0.000
ドキドキ,4,0.000
かけよ,3,0.000
入校,1,0.000
筆,10,0.000
あっと,3,0.000
掲示板,8,0.000
知子,2,0.000
性,113,0.000
高飛車,1,0.000
シラバス,7,0.000
色眼鏡,3,0.000
あて名,2,0.000
つつ,34,0.000
こなし,3,0.000
天声,4,0.000
ツェー,2,0.000
しょぼくれ,1,0.000
第三国,2,0.000
位置付け,2,0.000
鎖,5,0.000
シュ,1,0.000
初耳,4,0.000
島田,11,0.000
抽象,3,0.000
ワーワーッ,1,0.000
だから,2842,0.002
こぎれ,1,0.000
丁寧,7,0.000
野球,40,0.000
利子,1,0.000
含める,1,0.000
楽しめる,4,0.000
ドーナツ,2,0.000
大飯,1,0.000
入り,45,0.000
それだけ,62,0.000
たまたま,87,0.000
集まっ,44,0.000
ぴりぴり,1,0.000
話し出し,2,0.000
コイン,13,0.000
カップラーメン,6,0.000
ぁん,4,0.000
リストアップ,1,0.000
しゃぶしゃぶ,7,0.000
モニター,2,0.000
先約,1,0.000
くずれ,1,0.000
情報処理,3,0.000
抗生,10,0.000
中３,4,0.000
降りろ,4,0.000
ポップス,2,0.000
単体,1,0.000
測り,1,0.000
ＡＮＡ,5,0.000
厚かましく,1,0.000
まつげ,12,0.000
持,1,0.000
ｗ,4,0.000
アメリ,3,0.000
安易,1,0.000
Ｉ,221,0.000
ファイブ,4,0.000
長く,75,0.000
歯医者,20,0.000
チロリーン,1,0.000
窓辺,4,0.000
限っ,3,0.000
ホノルル,1,0.000
ずんどう,1,0.000
簿,3,0.000
娼婦,1,0.000
メカ,1,0.000
そこ,907,0.001
訳そ,1,0.000
人名,8,0.000
殺さ,15,0.000
やくざ,3,0.000
迎,1,0.000
文芸,4,0.000
激戦,1,0.000
ちゃ,477,0.000
ご用,1,0.000
ｓ,4,0.000
ブリッジ,4,0.000
切り離さ,3,0.000
ファザコン,2,0.000
持ち掛け,1,0.000
むむむむむ,1,0.000
いくつ,122,0.000
なつかし,2,0.000
暗記,12,0.000
年来,3,0.000
ナショナル,1,0.000
ベネ,1,0.000
握り,3,0.000
ピロ,1,0.000
尽くし,4,0.000
紺,7,0.000
ぶら下げ,6,0.000
カラッと,1,0.000
セレクト,1,0.000
ハンガリー,2,0.000
独特,16,0.000
役立た,2,0.000
相生,2,0.000
追い付け,1,0.000
煮込む,1,0.000
仕事,391,0.000
再任,1,0.000
ぜん,22,0.000
お眼鏡,1,0.000
バッテン,1,0.000
たいよう,1,0.000
瓦,5,0.000
情操,1,0.000
ＯＫ,60,0.000
流れ,45,0.000
部分,88,0.000
だらだら,17,0.000
オイニー,1,0.000
沢村,1,0.000
ためらわ,1,0.000
タタタ,1,0.000
ベッキオ,2,0.000
によって,95,0.000
ベルガー,2,0.000
母語,7,0.000
光,15,0.000
テロ,37,0.000
不向き,1,0.000
盆地,2,0.000
住まわ,2,0.000
勤める,3,0.000
ぱりあたしたちのせいなんだろうって,1,0.000
むにゃむにゃ,1,0.000
フーフー,1,0.000
プロフェッサー,3,0.000
国道,4,0.000
づか,4,0.000
フィンランド,2,0.000
採り,6,0.000
サイコー,1,0.000
行く,1010,0.001
なくなら,4,0.000
詐称,1,0.000
モーター,1,0.000
ゃべらないってきっと,1,0.000
西郷,1,0.000
それなら,12,0.000
打ち込ん,3,0.000
カリフォルニアロール,2,0.000
話し合っ,6,0.000
ょうしって,2,0.000
スタンプ,8,0.000
墜落,4,0.000
宅,29,0.000
ついつい,5,0.000
薄情,3,0.000
老後,7,0.000
モーラ,2,0.000
揚げ物,3,0.000
さばける,3,0.000
従え,2,0.000
ぜんぶ,2,0.000
出資,4,0.000
採っ,24,0.000
レッグ,1,0.000
コモ,2,0.000
121,8,0.000
仕上げ,2,0.000
泣か,4,0.000
ぐどうこうっていうわけじゃなくて,1,0.000
イディオム,8,0.000
返さ,15,0.000
パルミジャーノ・レッジャーノ,1,0.000
心象,2,0.000
干そ,1,0.000
ぱあっと,1,0.000
カシャカシャカシャ,1,0.000
イチョウ,20,0.000
応身,1,0.000
よい,27,0.000
手暗がり,2,0.000
』,51,0.000
助ける,6,0.000
さく,3,0.000
奇妙,3,0.000
無精,3,0.000
用事,26,0.000
貸し出し,8,0.000
ゃっしゃとって,1,0.000
バレエ,7,0.000
ごとく,3,0.000
反戦,4,0.000
フリット・ディ,1,0.000
ユース,1,0.000
パッパッパッパッ,1,0.000
思わ,168,0.000
バニラ,12,0.000
悪し,1,0.000
くたくた,2,0.000
懇談,3,0.000
経済,54,0.000
店員,11,0.000
本家,2,0.000
変えよ,13,0.000
振込,1,0.000
墨汁,6,0.000
のどか,1,0.000
ひゃく,1,0.000
シェークスピア,4,0.000
ハット,2,0.000
動か,28,0.000
ぎって,1,0.000
立ち向かえ,1,0.000
ブラジルー,1,0.000
親戚,21,0.000
今や,8,0.000
課す,1,0.000
ゃべりまくってんの,1,0.000
がら,12,0.000
早くっ,5,0.000
ヨークシャー,2,0.000
はぁ,1,0.000
明るく,10,0.000
フード,11,0.000
王様,4,0.000
指示,15,0.000
正体,2,0.000
尋問,2,0.000
税込み,2,0.000
すずらん,2,0.000
ブランチ,2,0.000
観客,2,0.000
ペネロペ・クルーズ,1,0.000
お粗末様,1,0.000
だれ,685,0.000
地域,33,0.000
いま,15,0.000
父,37,0.000
俵,2,0.000
ぎじゃないかって,1,0.000
ぬめり,2,0.000
盗聴,3,0.000
ひきこもり,3,0.000
切ない,1,0.000
スパシオ,10,0.000
楽しま,4,0.000
朝日,4,0.000
はる,13,0.000
ワーッ,19,0.000
ピクサス,2,0.000
ボーカリスト,1,0.000
休憩,12,0.000
いす,20,0.000
予測,6,0.000
ダイエー,18,0.000
助演,3,0.000
付ける,9,0.000
固かっ,2,0.000
下ろせ,1,0.000
へーえ,182,0.000
おも,12,0.000
小高い,2,0.000
ちかちか,1,0.000
通える,4,0.000
嘆く,1,0.000
送ん,3,0.000
流れ出,1,0.000
018,18,0.000
ＮＨＫ,37,0.000
範囲,14,0.000
マシーン,1,0.000
人材,2,0.000
レポートー,1,0.000
ぱつぱつ,1,0.000
シマウマ,2,0.000
多摩,1,0.000
対抗,5,0.000
ネイティブアメリカン,1,0.000
テストー,1,0.000
顧問,2,0.000
ネーミング,1,0.000
玄界灘,2,0.000
傷つく,3,0.000
やり合う,1,0.000
渡る,8,0.000
拡散,1,0.000
顔立ち,1,0.000
とりあえず,182,0.000
逆,129,0.000
学者,18,0.000
法っ,2,0.000
キリ,5,0.000
ゴルフ,13,0.000
Ｐｕｓｈ,1,0.000
車両,1,0.000
支援,2,0.000
ニュージー,2,0.000
受験生,5,0.000
149,5,0.000
紀香,2,0.000
実に,3,0.000
057,36,0.000
絵かき,2,0.000
土湯温泉,3,0.000
そりゃ,220,0.000
しだいに,1,0.000
ミネソタ,1,0.000
スタートボターン,3,0.000
印刷,14,0.000
ヒトリノ,1,0.000
る,83,0.000
ご存じ,28,0.000
負ける,5,0.000
やけど,15,0.000
ほどけ,1,0.000
露天,1,0.000
ぬれ,2,0.000
ザルツブルク,1,0.000
弟,99,0.000
フォーマル,7,0.000
乗っけ,6,0.000
肺活量,1,0.000
シーシーシーシーシー,1,0.000
風土,1,0.000
ゃってたもんねえ,1,0.000
緑,36,0.000
ゴー,3,0.000
内気,3,0.000
直接的,3,0.000
ハンティング,1,0.000
メグ,2,0.000
しゃべろ,11,0.000
起伏,1,0.000
てゆーか,5,0.000
音楽家,3,0.000
おなか,71,0.000
異動,1,0.000
あろ,8,0.000
アイスボックスクッキー,1,0.000
本職,2,0.000
しょぼしょぼ,2,0.000
水気,2,0.000
アトラス,2,0.000
昔ながら,2,0.000
カンガルー,2,0.000
文京,1,0.000
ファー,24,0.000
確,1,0.000
かっこよ,1,0.000
ゃいけませんかって,1,0.000
送り,14,0.000
名産,2,0.000
おぐらい,1,0.000
機銃,1,0.000
向い,54,0.000
いかっ,4,0.000
二女,4,0.000
デリン,1,0.000
来よ,2,0.000
本音,3,0.000
功績,1,0.000
突き進ん,2,0.000
目撃,1,0.000
イノシシ,10,0.000
ゲ,1,0.000
休も,1,0.000
証,10,0.000
グアム,15,0.000
